Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,Month,Year,TimePeriod,Location_encoded,Operator_encoded,AC Type_encoded,Route_encoded,Fatality Rate,Survival Rate,Season
Spain,Lignes Aeriennes Latecoere,Unknown,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed in unknown circumstance.,7,1925,Unknown,470,1117,663,3535,1.0,0.0,Summer
Hungary,CIDNA,Unknown,Unknown,Potez IX,Unknown,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed while attempting to land 10 km from the airport,7,1925,Unknown,214,552,1988,3613,1.0,0.0,Summer
Ohio,Military - US,Unknown,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43.0,,,14.0,,,0.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",9,1925,Overnight,379,1331,994,1816,0.32558139534883723,0.6744186046511628,Fall
France,CIDNA,Unknown,Unknown,Spad 33,Unknown,,,,,,,,,,9,1925,Unknown,173,552,2126,3613,,,Fall
Ohio,US Aerial Mail Service,Unknown,New York - San Francisco,De Havilland DH-4,385,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.,10,1925,Unknown,379,2010,974,2460,1.0,0.0,Fall
Mauritania,Lignes Aeriennes Latecoere,Unknown,Unknown,Breguet 14,F-AEGZ,168,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The pilot suffered sunstroke lost control of the plane and crashed.,11,1925,Unknown,281,1117,663,3613,1.0,0.0,Fall
France,Air Union,Unknown,Unknown,Farman F-60 Goliath,F-AMFY,,2.0,,,2.0,,,0.0,,11,1925,Unknown,173,285,1324,3613,1.0,0.0,Fall
Ohio,US Aerial Mail Service,Unknown,Unknown,Curtiss Carrier Pigeon,602,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.",2,1926,Unknown,379,2010,944,3613,1.0,0.0,Winter
Germany,Deutche Lufthansa,Unknown,Unknown,Junkers F-13,D-290 D-290,665,1.0,0.0,1.0,1.0,0.0,1.0,0.0,While in a training filight the aircraft stalled and crashed while attempting to land.,3,1926,Unknown,184,723,1565,3613,1.0,0.0,Spring
English Channel,Air Union,Unknown,Paris - Cryodon,Breguet 14,F-ADAI,1908,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed into the English Channel and was never found.,5,1926,Unknown,163,285,663,2678,1.0,0.0,Spring
Czechoslovakia,Compagnie Internationale de Navigation Aérienne,Unknown,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,6.0,4.0,2.0,6.0,4.0,2.0,0.0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,7,1926,Unknown,137,658,797,2692,1.0,0.0,Summer
Belgium,KLM Royal Dutch Airlines,Unknown,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,2.0,1.0,1.0,2.0,1.0,1.0,0.0,Crashed into the ground while descending in poor weather.,7,1926,Morning,76,1031,1372,192,1.0,0.0,Summer
Germany,Deutsche Lufthansa,Unknown,Unknown,Junkers F-13,D-272,660,5.0,4.0,1.0,5.0,4.0,1.0,0.0,Crashed under weather related.circumstances.,7,1926,Unknown,184,725,1565,3613,1.0,0.0,Summer
England,Air Union,Unknown,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,15.0,13.0,2.0,3.0,2.0,1.0,0.0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,8,1926,Unknown,162,285,352,1840,0.2,0.8,Summer
New York,Unknown,Unknown,New York - Paris,Sikorsky S-25,Unknown,,5.0,4.0,1.0,2.0,2.0,0.0,0.0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.,9,1926,Unknown,331,2056,2087,2459,0.4,0.6,Fall
Unied Kingdom,Air Union,Unknown,Paris - London,Bleriot 155,F- AICQ,1,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",10,1926,Afternoon,509,285,352,2683,1.0,0.0,Fall
Germany,Deutsche Lufthansa,Unknown,Unknown,Fokker FG III,D-468,1554,4.0,3.0,1.0,4.0,3.0,1.0,0.0,Weather related.,10,1926,Unknown,184,725,1374,3613,1.0,0.0,Fall
English Channel,Imperial Airways,Unknown,Croydon - Paris,Handley Page W-10,G-EBMS,W10/3,12.0,10.0,2.0,0.0,0.0,0.0,0.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",10,1926,Afternoon,163,966,1455,971,0.0,1.0,Fall
Morocco,Grands Express Aeriens,Unknown,Casablanca -Dakar,Breguet 14,F-AFAX,198,3.0,3.0,0.0,3.0,3.0,0.0,0.0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.",11,1926,Morning,297,895,663,770,1.0,0.0,Fall
Oregon,Pacific Air Transport,Unknown,Unknown,Ryan M-1,2,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The postal plane crashed into a mountain slope in foggy conditions.,12,1926,Unknown,385,1471,2003,3613,1.0,0.0,Winter
France,Fokker,Unknown,Delivery flight,Fokker F-VII,G-EBPL,4938,0.0,0.0,2.0,0.0,0.0,2.0,0.0,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.,1,1927,Unknown,173,838,1360,1042,,,Winter
Morocco,Grands Express Aeriens,Unknown,Casablanca - Oran,Breguet 14,F-ALRA,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Unknown.,3,1927,Unknown,297,895,663,768,1.0,0.0,Spring
Australia,Qantas,Unknown,Charleville - Tambo - Blackall,de Havilland DH-9C,G-AUED,86,3.0,2.0,1.0,3.0,2.0,1.0,0.0,"While attempting to land, the engine failed, the aircraft stalled and crashed.",3,1927,Unknown,60,1593,2418,801,1.0,0.0,Spring
Idaho,Varney Air Lines,Unknown,Unknown,Swallow Swallow,Unknown,A28,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,4,1927,Unknown,216,2073,2165,3613,1.0,0.0,Spring
Germany,Deutsche Lufthansa,Unknown,Charleville - Tambo - Blackall,Fokker FG III,D-729,1567,2.0,1.0,1.0,2.0,1.0,1.0,0.0,Crashed following engine failure.,4,1927,Unknown,184,725,1374,801,1.0,0.0,Spring
Indiana,US Aerial Mail Service,Unknown,Unknown,Douglas M-4,626,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed into a field during a snow storm.,4,1927,Unknown,224,2010,1218,3613,1.0,0.0,Spring
Algeria,Air Union,Unknown,Unknown,SPCA Meteore 63,F-AIFN,,3.0,0.0,3.0,1.0,0.0,1.0,0.0,The three engine seaplane stalled and crashed into the sea shortly after taking off.,5,1927,Unknown,42,285,2007,3613,0.3333333333333333,0.6666666666666667,Spring
Germany,Deutsche Lufthansa,Unknown,Kassel - Frankfurt,Junkers F-13,D-206,591,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Crashed after experiencing engine failure and attempting to make a forced landing.,7,1927,Unknown,184,725,1565,1631,1.0,0.0,Summer
England,KLM Royal Dutch Airlines,Unknown,Croydon - Schiphol,Fokker F-VIII,H-NADU H-NADU,4993,11.0,9.0,2.0,1.0,0.0,1.0,0.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",8,1927,Morning,162,1031,1363,974,0.09090909090909091,0.9090909090909091,Summer
Connecticut,Colonial Air Transport,Unknown,Unknown,Fokker Universal,NC52  	 NC52,405,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The postal plane crashed for unknown reasons.,9,1927,Unknown,129,646,1376,3613,1.0,0.0,Fall
New Jersey,Reynolds Airways,Unknown,Sightseeing,Fokker F-VII,NC776,4840,12.0,11.0,1.0,7.0,6.0,1.0,0.0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,9,1927,Unknown,329,1616,1360,3246,0.5833333333333334,0.41666666666666663,Fall
Atlantic Ocean,Private,Unknown,Old Orchad Beach - Rome,Fokker F7,NX703,4899/0501,3.0,1.0,2.0,3.0,1.0,2.0,0.0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.",9,1927,Overnight,57,1560,1372,2589,1.0,0.0,Fall
Germany,Deutsche Lufthansa,Unknown,Berlin - Munich,Dornier Merkur,D-585,075,6.0,4.0,2.0,6.0,4.0,2.0,0.0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.,9,1927,Morning,184,725,1008,452,1.0,0.0,Fall
Mauritania,Lignes Aeriennes Latecoere,Unknown,Saint Louis - Dakar,Breguet 14,F-AGBN,229,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The plane crashed while attempting to land at Dakar.,10,1927,Unknown,281,1117,663,3017,1.0,0.0,Fall
New Jersey,Colonial Air Transport,Unknown,Unknown,Fairchild FC-2,Unknown,20,4.0,3.0,1.0,4.0,3.0,1.0,0.0,Went into a tailspin and crashed into a corn field about 10 km from the airport.,10,1927,Unknown,329,646,1298,3613,1.0,0.0,Fall
France,CIDNA,Unknown,Strasbourg - Paris,Farman F-121 Jabiru,F-AIBR,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed shortly after taking off.,11,1927,Unknown,173,552,1317,3334,1.0,0.0,Fall
Over the Gulf of Finland,Aero O-Y,Unknown,Tallinn - Helsinki,Junkers F-13,K-SALD,798,6.0,4.0,2.0,6.0,4.0,2.0,0.0,Crashed in the gulf of Finland and never found.,11,1927,Unknown,390,66,1565,3405,1.0,0.0,Fall
Indiana,National Air Transport,Unknown,Unknown,Douglas M-4,NC62  	 NC1062,PO641,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The postal plane crashed at night in poor weather.,11,1927,Unknown,224,1389,1218,3613,1.0,0.0,Fall
Spain,Aeropostale,Unknown,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFGS,227,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A fire erupted aboard the mail plane while en route and crashed.,12,1927,Unknown,470,129,663,1001,1.0,0.0,Winter
"Near Marseille,France",Latecoere Airlines,Unknown,Test flight,Latécoère 23 (flying boat),F-AIHP,23-1,5.0,0.0,5.0,5.0,0.0,5.0,0.0,"Suffered structural failure at an altitude of 1,000 ft.",12,1927,Unknown,315,1102,1614,3477,1.0,0.0,Winter
New York,Colonial Western Airlines,Unknown,Minola - Albany - Buffalo,Fairchild FC-2,NC3780,39,3.0,1.0,2.0,3.0,1.0,2.0,0.0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..,1,1928,Unknown,331,647,1298,2279,1.0,0.0,Winter
Uruguay,Aeropostale,F-AIKG,Buenos Aires - Montevideo,Latecoere 25,F-AIKG,633,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The wing on the mail plane detached from the aircraft and crashed into the sea.,1,1928,Unknown,514,129,1605,644,1.0,0.0,Winter
Ariège,Aeropostale,Unknown,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,  F-AHEQ,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed after experiencing mechanical difficulties.,1,1928,Unknown,54,129,663,3537,1.0,0.0,Winter
Spain,Aeropostale,Unknown,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AHEQ,240,2.0,0.0,2.0,2.0,0.0,2.0,0.0,Crashed in unknown circumstances.,1,1928,Unknown,470,129,663,766,1.0,0.0,Winter
Spain,Aeropostale,Unknown,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFHN,162,1.0,0.0,1.0,1.0,0.0,1.0,0.0,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.,1,1928,Unknown,470,129,663,766,1.0,0.0,Winter
Nebraska,Boeing Air Transport,Unknown,Unknown,Boeing 40,NC280,891,2.0,1.0,1.0,1.0,1.0,0.0,0.0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,2,1928,Unknown,321,495,375,3613,0.5,0.5,Winter
France,Air Union,Unknown,Paris - Croydon,Farman F-60 Goliath,F-AEFC,62/6943,2.0,0.0,2.0,2.0,0.0,2.0,0.0,Crashed into the sea while delivering mail in poor weather.,3,1928,Unknown,173,285,1324,2677,1.0,0.0,Spring
Wyoming,Boeing Air Transport,Unknown,Unknown,Boeing 40,NC282 NC282,893,2.0,1.0,1.0,1.0,1.0,0.0,0.0,Spatial disorientation after entering a snowstorm.,4,1928,Unknown,539,495,375,3613,0.5,0.5,Spring
Spain,Iberia Airlines,Unknown,Barcelona - Madrid,Rohrbach Roland,M-CCCC,36,9.0,7.0,2.0,9.0,7.0,2.0,0.0,Crashed into a field after getting lost in fog.,4,1928,Unknown,470,961,1999,365,1.0,0.0,Spring
Brazil,Aeropostale,Unknown,Unknown,Latecoere 26,F-AIMQ,671,5.0,3.0,2.0,1.0,1.0,0.0,0.0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.,5,1928,Unknown,90,129,1607,3613,0.2,0.8,Spring
Minnesota,Ford Air Freight Inc.,Unknown,Dearborn - Buffalo,Ford 4,NC1492,4-AT-001,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.,5,1928,Unknown,289,840,1378,1031,1.0,0.0,Spring
Germany,Deutsche Lufthansa,Unknown,Essen - Dortmund - Frankfurt,Junkers F-13,D-583,742,5.0,4.0,1.0,3.0,2.0,1.0,0.0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.",5,1928,Unknown,184,725,1565,1168,0.6,0.4,Spring
Germany,Deutsche Lufthansa,Unknown,Unknown,AEGK,D-74,439,5.0,4.0,1.0,5.0,4.0,1.0,0.0,"The ""Viper"" crashed for unknown reasons.",6,1928,Unknown,184,725,20,3613,1.0,0.0,Summer
Kansas,National Air Transport,Unknown,Chicago - Dallas,Douglas M-4,NC1059,628,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane flew into tornado like winds and crashed in a field.,6,1928,Unknown,241,1389,1218,824,1.0,0.0,Summer
Over the Gulf of Finland,Aero O-Y,Unknown,Tallinn - Helsinki,Junkers F-13,K-SALB,760,6.0,4.0,2.0,6.0,4.0,2.0,0.0,Crashed under unknown circumstances,7,1928,Unknown,390,66,1565,3405,1.0,0.0,Summer
England,Imperial Airways,Unknown,Testing,Vickers 74 Vulcan,G-EBLB,9,6.0,5.0,1.0,4.0,4.0,0.0,0.0,"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers.",7,1928,Unknown,162,966,2262,3478,0.6666666666666666,0.33333333333333337,Summer
Netherlands,KLM Royal Dutch Airlines,Unknown,Sightseeing over Rotterdam,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),6.0,5.0,1.0,1.0,1.0,0.0,0.0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.",7,1928,Afternoon,323,1031,1334,3249,0.16666666666666666,0.8333333333333334,Summer
Canada,British Columbia Airways,Unknown,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7.0,5.0,2.0,7.0,5.0,2.0,0.0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,8,1928,Morning,106,520,1379,3653,1.0,0.0,Summer
France,CIDNA,Unknown,Toul - Clermont-Ferrand,Bleriot Spad 33,F-AIEP,5/4207,5.0,2.0,3.0,5.0,2.0,3.0,0.0,"After taking off the engine failed, the plane stalled and crashed.",9,1928,Unknown,173,552,354,3533,1.0,0.0,Fall
Australia,Qantas,Unknown,Adelaide - Longreach,de Havilland DH.50J,G-AUHI,5,2.0,0.0,2.0,1.0,0.0,1.0,0.0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire.",9,1928,Unknown,60,1593,2420,113,0.5,0.5,Fall
Idaho,National Parks Airways,Unknown,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,NC7242,809,7.0,6.0,1.0,7.0,6.0,1.0,0.0,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.",9,1928,Morning,216,1394,1375,1300,1.0,0.0,Fall
Germany,Deutsche Lufthansa,Unknown,Unknown,Fokker FG III,D-180,1531,3.0,2.0,1.0,3.0,2.0,1.0,0.0,Crashed due to engine failure.,9,1928,Unknown,184,725,1374,3613,1.0,0.0,Fall
Spain,Aeropostale,Unknown,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,F-AEEJ F-AEEJ,159,3.0,2.0,1.0,3.0,2.0,1.0,0.0,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,",10,1928,Unknown,470,129,663,765,1.0,0.0,Fall
Pennsylvania,National Air Transport,Unknown,Unknown,Douglas M-4,NC1064,658,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed into a hill and burned during the night during poor weather conditons.,10,1928,Unknown,405,1389,1218,3613,1.0,0.0,Fall
France,Air Union,Unknown,Paris - Lyon - Marseille,Bleriot Spad 56,F-AIMN,4381.9,2.0,1.0,1.0,1.0,0.0,1.0,0.0,The pilot attempted an emergency landing in a muddy field and crashed.,10,1928,Unknown,173,285,355,2684,0.5,0.5,Fall
Off Gibraltar,Aeropostale,Unknown,Marseille - Palma de Majorca,Latecoere 32,F-AISN,80,3.0,,3.0,1.0,0.0,1.0,0.0,The sea plane stuck a lightning mast and crashed into houses. Pilot error.,11,1928,Unknown,356,129,1611,2120,0.3333333333333333,0.6666666666666667,Fall
Ohio,Universal Airlines,Unknown,Cleveland - Chicago,Hamilton H-47,NC7521,46,3.0,2.0,1.0,3.0,2.0,1.0,0.0,The mail plane crashed in a heavy snow storm.,11,1928,Unknown,379,2052,1437,889,1.0,0.0,Fall
Ohio,Continental Air Lines,Unknown,Cleveland - Louisville,Travel Air 4000,NC5436,525,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed in a heavy snow storm,11,1928,Unknown,379,668,2194,894,1.0,0.0,Fall
Ohio,National Air Transport,Unknown,Unknown,Douglas M-4,NC792,650,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed in a snow storm.,11,1928,Unknown,379,1389,1218,3613,1.0,0.0,Fall
Texas,Sunbeam Air Transport Co.,Unknown,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,5.0,4.0,1.0,5.0,4.0,1.0,0.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.,12,1928,Morning,492,1838,1379,3040,1.0,0.0,Winter
"Near Rio de Janeiro,Brazil",Syndicato Condor,Unknown,Sightseeing,Dornier Wal,P-BACA,83,14.0,9.0,5.0,14.0,9.0,5.0,0.0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastic limits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",12,1928,Morning,318,1855,1009,3246,1.0,0.0,Winter
Washington,Spokane Airways,Unknown,Colfax - Spokane,Ford Tri-motor 4,NC7687,4-AT-045,5.0,3.0,2.0,5.0,3.0,2.0,0.0,The aircraft crashed while attempting to land in fog.,12,1928,Morning,529,1818,1394,907,1.0,0.0,Winter
Germany,Deutsche Lufthansa,Unknown,Cologne -  Berlin,Junkers G-31,D-1473,3005,4.0,1.0,3.0,3.0,0.0,3.0,0.0,"After a fuel line broke in flight, the pilot was forced to make an emergency landing in an open field. On landing, the aircraft crashed, overturned and came to rest in flames.",12,1928,Unknown,184,725,1569,908,0.75,0.25,Winter
